city,status,adm,population
Aachen [Aix-la-Chapelle],City,NW,"248,960"
Aalen,City,BW,"68,393"
Ahlen,City,NW,"52,503"
Arnsberg,City,NW,"73,456"
Aschaffenburg,CityCR,BY,"71,002"
Augsburg,CityCR,BY,"296,582"
Baden-Baden,CityCR,BW,"55,185"
Bad Homburg vor der Höhe,City,HE,"54,227"
Bad Kreuznach,City,RP,"51,170"
Bad Salzuflen,City,NW,"54,254"
Bamberg,CityCR,BY,"77,373"
Bayreuth,CityCR,BY,"74,783"
Bergheim,City,NW,"61,601"
Bergisch Gladbach,City,NW,"111,846"
Berlin,CityCR,BE,"3,669,491"
Bielefeld,CityCR,NW,"334,195"
Böblingen,City,BW,"50,161"
Bocholt,City,NW,"71,113"
Bochum,CityCR,NW,"365,587"
Bonn,CityCR,NW,"329,673"
Bottrop,CityCR,NW,"117,565"
Brandenburg an der Havel,CityCR,BB,"72,184"
Braunschweig [Brunswick],CityCR,NI,"249,406"
Bremen,CityCR,HB,"567,559"
Bremerhaven,CityCR,HB,"113,643"
Castrop-Rauxel,City,NW,"73,343"
Celle,City,NI,"69,540"
Chemnitz,CityCR,SN,"246,334"
Cottbus (Chóśebuz),CityCR,BB,"99,678"
Darmstadt,CityCR,HE,"159,878"
Delmenhorst,CityCR,NI,"77,559"
Dessau-Roßlau,CityCR,ST,"80,103"
Detmold,City,NW,"74,254"
Dinslaken,City,NW,"67,373"
Dormagen,City,NW,"64,340"
Dorsten,City,NW,"74,704"
Dortmund,CityCR,NW,"588,250"
Dresden,CityCR,SN,"556,780"
Duisburg,CityCR,NW,"498,686"
Düren,City,NW,"91,216"
Düsseldorf [Dusseldorf],CityCR,NW,"621,877"
Erftstadt,City,NW,"50,010"
Erfurt,CityCR,TH,"213,981"
Erlangen,CityCR,BY,"112,528"
Eschweiler,City,NW,"56,482"
Essen,CityCR,NW,"582,760"
Esslingen am Neckar,City,BW,"94,145"
Euskirchen,City,NW,"58,381"
Flensburg,CityCR,SH,"90,164"
Frankfurt (Oder),CityCR,BB,"57,751"
Frankfurt am Main,CityCR,HE,"763,380"
Frechen,City,NW,"52,439"
Freiburg im Breisgau,CityCR,BW,"231,195"
Friedrichshafen,City,BW,"61,283"
Fulda,City,HE,"68,635"
Fürth,CityCR,BY,"128,497"
Garbsen,City,NI,"61,032"
Gelsenkirchen,CityCR,NW,"259,645"
Gera,CityCR,TH,"93,125"
Gießen,City,HE,"89,802"
Gladbeck,City,NW,"75,610"
Göppingen,City,BW,"57,813"
Görlitz,City,SN,"55,980"
Goslar,City,NI,"50,554"
Göttingen,City,NI,"118,911"
Greifswald,City,MV,"59,232"
Grevenbroich,City,NW,"63,743"
Gummersbach,City,NW,"50,952"
Gütersloh,City,NW,"100,861"
Hagen,CityCR,NW,"188,686"
Halle (Saale),CityCR,ST,"238,762"
Hamburg,CityCR,HH,"1,847,253"
Hameln,City,NI,"57,434"
Hamm,CityCR,NW,"179,916"
Hanau,City,HE,"96,492"
Hannover [Hanover],City,NI,"536,925"
Hattingen,City,NW,"54,438"
Heidelberg,CityCR,BW,"161,485"
Heilbronn,CityCR,BW,"126,592"
Herford,City,NW,"66,638"
Herne,CityCR,NW,"156,449"
Herten,City,NW,"61,821"
Hilden,City,NW,"55,625"
Hildesheim,City,NI,"101,693"
Hürth,City,NW,"59,731"
Ibbenbüren,City,NW,"51,822"
Ingolstadt,CityCR,BY,"137,392"
Iserlohn,City,NW,"92,174"
Jena,CityCR,TH,"111,343"
Kaiserslautern,CityCR,RP,"100,030"
Karlsruhe,CityCR,BW,"312,060"
Kassel,CityCR,HE,"202,137"
Kempten (Allgäu),CityCR,BY,"69,151"
Kerpen,City,NW,"66,702"
Kiel,CityCR,SH,"246,794"
Kleve,City,NW,"52,388"
Koblenz,CityCR,RP,"114,052"
Köln [Cologne],CityCR,NW,"1,087,863"
Konstanz,City,BW,"84,911"
Krefeld,CityCR,NW,"227,417"
Landshut,CityCR,BY,"73,411"
Langenfeld (Rheinland),City,NW,"59,178"
Langenhagen,City,NI,"54,652"
Leipzig,CityCR,SN,"593,145"
Leverkusen,CityCR,NW,"163,729"
Lingen (Ems),City,NI,"54,708"
Lippstadt,City,NW,"67,952"
Lübeck,CityCR,SH,"216,530"
Lüdenscheid,City,NW,"72,313"
Ludwigsburg,City,BW,"93,584"
Ludwigshafen am Rhein,CityCR,RP,"172,253"
Lüneburg,City,NI,"75,711"
Lünen,City,NW,"86,348"
Magdeburg,CityCR,ST,"237,565"
Mainz,CityCR,RP,"218,578"
Mannheim,CityCR,BW,"310,658"
Marburg,City,HE,"77,129"
Marl,City,NW,"84,067"
Meerbusch,City,NW,"56,415"
Menden (Sauerland),City,NW,"52,608"
Minden,City,NW,"81,716"
Moers,City,NW,"103,902"
Mönchengladbach,CityCR,NW,"261,034"
Mülheim an der Ruhr,CityCR,NW,"170,632"
München [Munich],CityCR,BY,"1,484,226"
Münster,CityCR,NW,"315,293"
Neubrandenburg,City,MV,"63,761"
Neumünster,CityCR,SH,"80,196"
Neuss,City,NW,"153,896"
Neustadt an der Weinstraße,CityCR,RP,"53,264"
Neu-Ulm,City,BY,"58,978"
Neuwied,City,RP,"64,765"
Norderstedt,City,SH,"79,357"
Nordhorn,City,NI,"53,711"
Nürnberg [Nuremberg],CityCR,BY,"518,370"
Oberhausen,CityCR,NW,"210,764"
Offenbach am Main,CityCR,HE,"130,280"
Offenburg,City,BW,"59,967"
Oldenburg (Oldenburg),CityCR,NI,"169,077"
Osnabrück,CityCR,NI,"165,251"
Paderborn,City,NW,"151,633"
Passau,CityCR,BY,"52,803"
Pforzheim,CityCR,BW,"125,957"
Plauen,City,SN,"64,597"
Potsdam,CityCR,BB,"180,334"
Pulheim,City,NW,"54,194"
Ratingen,City,NW,"87,520"
Ravensburg,City,BW,"50,897"
Recklinghausen,City,NW,"111,397"
Regensburg,CityCR,BY,"153,094"
Remscheid,CityCR,NW,"111,338"
Reutlingen,City,BW,"115,865"
Rheine,City,NW,"76,218"
Rosenheim,CityCR,BY,"63,551"
Rostock,CityCR,MV,"209,191"
Rüsselsheim am Main,City,HE,"65,881"
Saarbrücken,City,SL,"180,374"
Salzgitter,CityCR,NI,"104,291"
Sankt Augustin,City,NW,"55,847"
Schwäbisch Gmünd,City,BW,"61,137"
Schweinfurt,CityCR,BY,"53,426"
Schwerin,CityCR,MV,"95,653"
Siegen,City,NW,"102,770"
Sindelfingen,City,BW,"64,905"
Solingen,CityCR,NW,"159,245"
Speyer,CityCR,RP,"50,561"
Stolberg (Rhld.),City,NW,"56,466"
Stralsund,City,MV,"59,418"
Stuttgart,CityCR,BW,"635,911"
Trier,CityCR,RP,"111,528"
Troisdorf,City,NW,"74,953"
Tübingen,City,BW,"91,506"
Ulm,CityCR,BW,"126,790"
Unna,City,NW,"58,936"
Velbert,City,NW,"81,842"
Viersen,City,NW,"77,102"
Villingen-Schwenningen,City,BW,"85,707"
Waiblingen,City,BW,"55,604"
Weimar,CityCR,TH,"65,228"
Wesel,City,NW,"60,230"
Wetzlar,City,HE,"52,955"
Wiesbaden,CityCR,HE,"278,474"
Wilhelmshaven,CityCR,NI,"76,089"
Willich,City,NW,"50,391"
Witten,City,NW,"96,459"
Wolfenbüttel,City,NI,"52,165"
Wolfsburg,CityCR,NI,"124,371"
Worms,CityCR,RP,"83,542"
Wuppertal,CityCR,NW,"355,100"
Würzburg,CityCR,BY,"127,934"
Zwickau,City,SN,"88,690"
